subset,threshold,coverage,accepted_n,selective_accuracy,selective_risk
all,0.0,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.01,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.02,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.03,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.04,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.05,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.06,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.07,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.08,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.09,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.1,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.11,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.12,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.13,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.14,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.15,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.16,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.17,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.18,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.19,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.2,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.21,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.22,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.23,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.24,1.0,3097,0.8889247659024863,0.11107523409751374
all,0.25,0.9996771068776235,3096,0.8892118863049095,0.11078811369509045
all,0.26,0.998708427510494,3093,0.8897510507597801,0.11024894924021988
all,0.27,0.9980626412657411,3091,0.8903267550954383,0.10967324490456165
all,0.28,0.9967710687762351,3087,0.891156462585034,0.108843537414966
all,0.29,0.996125282531482,3085,0.8917341977309562,0.10826580226904381
all,0.3,0.9948337100419761,3081,0.8928919182083739,0.10710808179162612
all,0.31,0.9941879237972231,3079,0.8931471256901592,0.1068528743098408
all,0.32,0.9925734581853407,3074,0.8942745608327911,0.10572543916720889
all,0.33,0.9916047788182112,3071,0.8948225333767502,0.10517746662324978
all,0.34,0.9890216338391993,3063,0.8968331700946784,0.10316682990532156
all,0.35,0.9867613819825638,3056,0.8982329842931938,0.10176701570680624
all,0.36,0.9864384888601873,3055,0.8981996726677578,0.1018003273322422
all,0.37,0.9832095576364224,3045,0.9001642036124795,0.09983579638752049
all,0.38,0.9812721989021633,3039,0.9019414281013491,0.09805857189865086
all,0.39,0.979011947045528,3032,0.9030343007915568,0.09696569920844322
all,0.4,0.9761059089441395,3023,0.9047304002646378,0.0952695997353622
all,0.41,0.9725540845979981,3012,0.9070385126162018,0.09296148738379817
all,0.42,0.9719082983532451,3010,0.9076411960132891,0.09235880398671092
all,0.43,0.9693251533742331,3002,0.9090606262491672,0.09093937375083283
all,0.44,0.9660962221504682,2992,0.9114304812834224,0.08856951871657759
all,0.45,0.9631901840490797,2983,0.9128394233992625,0.0871605766007375
all,0.46,0.9583467872134324,2968,0.9134097035040432,0.08659029649595684
all,0.47,0.9531804972554084,2952,0.9159891598915989,0.0840108401084011
all,0.48,0.9531804972554084,2952,0.9159891598915989,0.0840108401084011
all,0.49,0.9473684210526315,2934,0.9188820722563054,0.08111792774369464
all,0.5,0.9444623829512432,2925,0.9196581196581196,0.08034188034188039
all,0.51,0.9396189861155957,2910,0.9226804123711341,0.07731958762886593
all,0.52,0.9350984824023248,2896,0.925414364640884,0.074585635359116
all,0.53,0.9305779786890539,2882,0.9274809160305344,0.0725190839694656
all,0.54,0.9257345818534065,2867,0.9295430763864667,0.07045692361353328
all,0.55,0.9176622537939942,2842,0.932441942294159,0.067558057705841
all,0.56,0.9105586051017114,2820,0.9351063829787234,0.0648936170212766
all,0.57,0.901194704552793,2791,0.9390899319240416,0.060910068075958446
