clinical_area,n,correct,accuracy,wilson95_low,wilson95_high,fisher_p_vs_rest,fdr_bh_q
neonatology_and_perinatology,63,52,0.8253968253968254,0.7137857247924102,0.8996060342053211,0.15706856123139865,0.44264776347030527
obstetrics_and_gynecology,248,206,0.8306451612903226,0.7790055181404132,0.872197825296239,0.006866302179149235,0.05321384188840657
emergency,24,20,0.8333333333333334,0.6414692935030094,0.9332132367136706,0.34454124715635004,0.5619655828949421
gastrointestinal_disorders,244,204,0.8360655737704918,0.7844722420623357,0.8772410999279933,0.015948412614482158,0.09888015820978939
normal_structure_and_function,37,31,0.8378378378378378,0.6886351629906503,0.9234879276598885,0.3059426302485313,0.5578953845708512
otolaryngology,83,70,0.8433734939759037,0.7502486450452769,0.9061198772487894,0.22044100081214413,0.5050137249754728
infectious_diseases,186,157,0.8440860215053764,0.7850512199623261,0.8891956004906099,0.07486270707129905,0.33153484560146723
etiology_and_pathophysiology,13,11,0.8461538461538461,0.5776536898051745,0.9567418216419188,0.6531673449700989,0.7499328775582617
diagnostics_and_testing,55,47,0.8545454545454545,0.7383908706854772,0.924407108522407,0.39886953600012964,0.5888074102859057
health_care_systems,346,298,0.861271676300578,0.820866733919086,0.8937426804217501,0.13086058653230653,0.44264776347030527
ophthalmology,73,63,0.863013698630137,0.765875725934301,0.9238561039060587,0.5747892098341433,0.7127386201943378
skin_disorders,73,63,0.863013698630137,0.765875725934301,0.9238561039060587,0.5747892098341433,0.7127386201943378
prevention_and_health_promotion,96,83,0.8645833333333334,0.781988614978556,0.9191229355418888,0.5138090451844347,0.6925252348138033
neurological_disorders,194,169,0.8711340206185567,0.816687345722861,0.9111681849549065,0.48672799042410175,0.6858439865066888
pediatrics,165,144,0.8727272727272727,0.8132660114816576,0.9152280495097441,0.6153396881653455,0.733674243581758
urology,83,73,0.8795180722891566,0.7922368486742835,0.933223097019158,0.8608638040385659,0.8895592641731848
therapeutics_and_management,215,191,0.8883720930232558,0.8392792634269323,0.9238302538461637,1.0,1.0
respiratory_disorders,207,185,0.893719806763285,0.8443320685064027,0.9287606662513285,0.8217400364540737,0.8784117631060788
cardiovascular_disorders,243,220,0.9053497942386831,0.8619826230554463,0.9361004904587263,0.34868702079846614,0.5619655828949421
hematologic_disorders,106,98,0.9245283018867925,0.8580995900747053,0.9612631620798937,0.27562965178507304,0.5578953845708512
environmental_and_occupational_medicine,84,78,0.9285714285714286,0.8528043284375555,0.9668541900641647,0.2950568643760405,0.5578953845708512
psychiatric_disorders,135,126,0.9333333333333333,0.8781546727030708,0.9645331022150744,0.09596006329406805,0.3718452452645137
geriatrics,76,71,0.9342105263157895,0.8550647346629655,0.9715734677804678,0.20556205345914974,0.5050137249754728
signs_and_symptoms,17,16,0.9411764705882353,0.7301796936242458,0.9895395990150023,0.7116199759295181,0.787864973350538
musculoskeletal_disorders,83,79,0.9518072289156626,0.8825414079954845,0.9811013844967078,0.05467327082206726,0.28247856591401416
physical_examination,44,42,0.9545454545454546,0.8486500156237035,0.987444890050405,0.22807071450505223,0.5050137249754728
endocrine_and_metabolic_disorders,159,152,0.9559748427672956,0.9119235516718515,0.9785130794545037,0.003005657792886348,0.031058463859825594
allergy_and_immune_disorders,28,27,0.9642857142857143,0.8228780225664668,0.9936674801509623,0.362558440577382,0.5619655828949421
nephrology,95,93,0.9789473684210527,0.9264588050529105,0.9942074931355945,0.0015355523305034448,0.023801061122803394
breast_disorders,19,19,1.0,0.8318207759473837,1.0,0.1562048552449525,0.44264776347030527
collagen_diseases,62,62,1.0,0.9416559278986274,1.0,0.0008904048929290972,0.023801061122803394
