clinical_area,n,correct,accuracy,median_latency_ms
allergy_and_immune_disorders,28,27,0.9642857142857143,838.21865
breast_disorders,19,19,1.0,811.3635
cardiovascular_disorders,243,220,0.9053497942386831,815.2931
collagen_diseases,62,62,1.0,814.4357
diagnostics_and_testing,55,47,0.8545454545454545,796.8023
emergency,24,20,0.8333333333333334,799.5644
endocrine_and_metabolic_disorders,159,152,0.9559748427672956,825.444
environmental_and_occupational_medicine,84,78,0.9285714285714286,856.3969999999999
etiology_and_pathophysiology,13,11,0.8461538461538461,804.2543
gastrointestinal_disorders,244,204,0.8360655737704918,818.2915
geriatrics,76,71,0.9342105263157895,815.71755
health_care_systems,346,298,0.861271676300578,824.2936500000001
hematologic_disorders,106,98,0.9245283018867925,845.08725
infectious_diseases,186,157,0.8440860215053764,812.03025
musculoskeletal_disorders,83,79,0.9518072289156626,847.2806
neonatology_and_perinatology,63,52,0.8253968253968254,832.983
nephrology,95,93,0.9789473684210527,820.2648
neurological_disorders,194,169,0.8711340206185567,814.2082499999999
normal_structure_and_function,37,31,0.8378378378378378,840.3068
obstetrics_and_gynecology,248,206,0.8306451612903226,828.3992
ophthalmology,73,63,0.863013698630137,814.8313
otolaryngology,83,70,0.8433734939759037,838.4305
pediatrics,165,144,0.8727272727272727,810.0285
physical_examination,44,42,0.9545454545454546,844.5778
prevention_and_health_promotion,96,83,0.8645833333333334,837.7793
psychiatric_disorders,135,126,0.9333333333333333,821.0038
respiratory_disorders,207,185,0.893719806763285,812.5619
signs_and_symptoms,17,16,0.9411764705882353,774.1951
skin_disorders,73,63,0.863013698630137,810.7696
therapeutics_and_management,215,191,0.8883720930232558,798.579
urology,83,73,0.8795180722891566,825.0876
