condition,clinical_area,n,correct,accuracy,median_latency_ms
image-only,allergy_and_immune_disorders,4,4,1.0,820.9838500000001
image-only,breast_disorders,9,9,1.0,746.419
image-only,cardiovascular_disorders,125,109,0.872,817.5737
image-only,collagen_diseases,16,16,1.0,866.9057
image-only,diagnostics_and_testing,1,0,0.0,762.6359
image-only,emergency,5,3,0.6,918.7468
image-only,endocrine_and_metabolic_disorders,24,23,0.9583333333333334,809.0155
image-only,environmental_and_occupational_medicine,4,3,0.75,864.54355
image-only,etiology_and_pathophysiology,3,1,0.3333333333333333,755.6086
image-only,gastrointestinal_disorders,98,70,0.7142857142857143,815.76905
image-only,geriatrics,6,5,0.8333333333333334,887.0509
image-only,health_care_systems,16,10,0.625,795.04595
image-only,hematologic_disorders,37,33,0.8918918918918919,812.8966
image-only,infectious_diseases,54,43,0.7962962962962963,870.3102
image-only,musculoskeletal_disorders,42,39,0.9285714285714286,893.3007
image-only,neonatology_and_perinatology,16,12,0.75,876.0363
image-only,nephrology,14,14,1.0,763.3655
image-only,neurological_disorders,69,51,0.7391304347826086,812.5341
image-only,normal_structure_and_function,4,2,0.5,829.0600999999999
image-only,obstetrics_and_gynecology,80,59,0.7375,846.1301
image-only,ophthalmology,38,32,0.8421052631578947,815.4013
image-only,otolaryngology,46,34,0.7391304347826086,815.3391
image-only,pediatrics,38,31,0.8157894736842105,815.83105
image-only,physical_examination,2,1,0.5,873.5511
image-only,prevention_and_health_promotion,5,1,0.2,783.2492
image-only,psychiatric_disorders,2,2,1.0,791.58755
image-only,respiratory_disorders,104,90,0.8653846153846154,839.20255
image-only,skin_disorders,53,43,0.8113207547169812,805.4616
image-only,therapeutics_and_management,21,9,0.42857142857142855,829.3126
image-only,urology,38,32,0.8421052631578947,827.6976
no-image,allergy_and_immune_disorders,24,23,0.9583333333333334,841.385
no-image,breast_disorders,10,10,1.0,903.7055
no-image,cardiovascular_disorders,118,111,0.940677966101695,811.7411500000001
no-image,collagen_diseases,46,46,1.0,801.73355
no-image,diagnostics_and_testing,54,47,0.8703703703703703,798.2109
no-image,emergency,19,17,0.8947368421052632,795.6133
no-image,endocrine_and_metabolic_disorders,135,129,0.9555555555555556,828.6082
no-image,environmental_and_occupational_medicine,80,75,0.9375,856.3969999999999
no-image,etiology_and_pathophysiology,10,10,1.0,810.85765
no-image,gastrointestinal_disorders,146,134,0.9178082191780822,823.5577499999999
no-image,geriatrics,70,66,0.9428571428571428,815.71755
no-image,health_care_systems,330,288,0.8727272727272727,828.3961999999999
no-image,hematologic_disorders,69,65,0.9420289855072463,863.6153
no-image,infectious_diseases,132,114,0.8636363636363636,787.41935
no-image,musculoskeletal_disorders,41,40,0.975609756097561,815.0241
no-image,neonatology_and_perinatology,47,40,0.851063829787234,793.9143
no-image,nephrology,81,79,0.9753086419753086,827.0398
no-image,neurological_disorders,125,118,0.944,817.0083
no-image,normal_structure_and_function,33,29,0.8787878787878788,850.1711
no-image,obstetrics_and_gynecology,168,147,0.875,823.74965
no-image,ophthalmology,35,31,0.8857142857142857,791.0995
no-image,otolaryngology,37,36,0.972972972972973,853.5599
no-image,pediatrics,127,113,0.889763779527559,803.2825
no-image,physical_examination,42,41,0.9761904761904762,844.5778
no-image,prevention_and_health_promotion,91,82,0.9010989010989011,845.6615
no-image,psychiatric_disorders,133,124,0.9323308270676691,821.0038
no-image,respiratory_disorders,103,95,0.9223300970873787,789.2661
no-image,signs_and_symptoms,17,16,0.9411764705882353,774.1951
no-image,skin_disorders,20,20,1.0,827.9651
no-image,therapeutics_and_management,194,182,0.9381443298969072,797.9242999999999
no-image,urology,45,41,0.9111111111111111,815.6667
