condition,year,n,correct,accuracy,wilson_low,wilson_high,median_latency_ms
no-image,2018,278,253,0.9100719424460432,0.8706194576376091,0.9383459832667133,697.3538
no-image,2019,284,254,0.8943661971830986,0.8532067958712225,0.9249993767827908,788.6714999999999
no-image,2020,270,257,0.9518518518518518,0.9193774282654333,0.9716490841216717,850.0515
no-image,2021,294,262,0.891156462585034,0.8503835724291513,0.9218393441207715,830.1659999999999
no-image,2022,291,271,0.9312714776632303,0.8962333353733803,0.9550716371496467,787.66
no-image,2023,271,251,0.9261992619926199,0.8887641538562557,0.9517203967322493,820.6516
no-image,2024,303,282,0.9306930693069307,0.8963767525119407,0.9542253825552053,856.0662
no-image,2025,292,268,0.9178082191780822,0.880618877572168,0.9441472014373518,908.06105
no-image,2026,299,271,0.9063545150501672,0.8679856109673952,0.9344144334197743,821.7147
image-only,2018,119,93,0.7815126050420168,0.6991078796953287,0.8463105860508071,702.3677
image-only,2019,109,85,0.7798165137614679,0.693245210159742,0.8473362448968568,824.8096
image-only,2020,125,98,0.784,0.7039729577824675,0.847091898591204,820.7546
image-only,2021,104,79,0.7596153846153846,0.6691888609329104,0.8315462050660096,856.40645
image-only,2022,102,84,0.8235294117647058,0.7382173233977847,0.8853568481545051,815.85365
image-only,2023,120,91,0.7583333333333333,0.6744985095256915,0.8261415878246459,798.52085
image-only,2024,93,78,0.8387096774193549,0.7507986045848953,0.8997492162265113,878.6291
image-only,2025,104,89,0.8557692307692307,0.7755885748449469,0.910603923005425,852.8815500000001
image-only,2026,98,84,0.8571428571428571,0.7743875696687075,0.9129552945300934,854.21455
both,2018,397,346,0.871536523929471,0.8350266897477479,0.9009251273819285,700.6219
both,2019,393,339,0.8625954198473282,0.8250318675328117,0.8931390636167293,806.2138
both,2020,395,355,0.8987341772151899,0.8650386716563665,0.9247488317075045,838.4787
both,2021,398,341,0.8567839195979899,0.8189544401699949,0.8877919488996404,836.1800499999999
both,2022,393,355,0.9033078880407125,0.8700656876676747,0.9287419796109377,802.7576
both,2023,391,342,0.8746803069053708,0.83817556706276,0.9038944295255609,811.1634
both,2024,396,360,0.9090909090909091,0.8767097170111194,0.9336114561749144,858.4145
both,2025,396,357,0.9015151515151515,0.8681977400748191,0.9271174854596216,897.54315
both,2026,397,355,0.8942065491183879,0.8600826441098346,0.9207747076243644,829.4467
